FlowRate_LPM,Pressure_Bar,TankLevel_L,OilCost_$
129.82,75.23,3014.31,367.42
494.75,20.72,4576.22,655.7
408.9,53.17,4745.37,644.14
179.49,64.44,4229.48,451.72
102.21,49.1,3542.37,332.54
426.18,25.12,2214.88,489.38
382.74,78.35,4931.78,670.3
391.6,51.08,2096.54,494.73
408.51,56.85,1810.63,502.61
129.62,34.2,2768.62,293.42
243.39,49.01,1227.36,329.59
146.35,45.75,4913.98,431.4
445.24,24.49,3353.73,560.62
349.32,26.37,3227.81,480.4
232.36,70.25,3623.19,472.42
125.42,34.39,2988.09,301.33
224.39,31.7,1128.25,283.47
230.07,50.29,3449.25,431.96
391.84,66.12,3864.7,605.9
355.02,23.72,2667.0,452.94
454.89,54.61,4029.18,647.28
288.89,27.15,1908.01,367.24
147.84,22.19,1885.11,245.81
385.3,23.16,1645.67,425.27
404.31,70.05,2487.98,552.92
324.51,27.08,4388.05,519.63
408.39,22.71,4311.65,576.36
297.52,46.27,2531.3,433.99
309.09,70.64,3356.47,521.06
271.02,35.74,3883.27,464.59
110.17,45.3,1964.83,254.33
143.16,22.4,1672.56,231.75
112.57,46.94,4888.38,404.89
354.56,54.66,3470.23,539.15
225.74,54.25,4925.66,508.26
303.43,39.95,2351.02,420.21
463.03,38.93,3812.13,619.43
199.72,26.4,1890.41,293.89
264.15,42.01,2044.8,376.57
402.22,25.97,3047.61,513.11
191.52,66.0,2278.47,366.13
130.79,77.98,1670.49,305.12
215.9,78.2,2051.52,392.6
164.49,71.9,1142.99,296.6
471.88,56.05,3817.69,652.46
423.25,62.05,2968.47,580.1
353.36,37.11,1376.97,407.21
448.58,57.85,1686.78,529.98
421.47,47.34,1410.14,478.69
174.63,48.92,3450.37,385.6
457.02,65.47,1376.84,532.66
315.74,36.92,4017.13,508.82
422.98,39.08,1082.04,451.11
458.44,75.48,1997.5,579.84
227.2,23.37,4562.67,444.95
144.02,49.14,3874.13,382.63
191.17,74.77,1291.87,329.68
270.84,56.62,4284.5,515.83
427.21,52.78,2972.14,569.55
444.29,34.98,4387.13,627.27
102.78,40.6,3402.96,313.27
304.3,71.12,3727.33,536.49
266.96,53.55,4974.01,542.6
188.84,50.88,1929.34,323.87
147.95,25.97,3495.78,332.11
235.05,20.96,2841.29,361.54
477.16,77.82,1157.81,556.35
229.28,42.62,1057.88,300.25
307.52,56.19,1476.91,404.15
381.21,24.78,3596.37,521.96
245.45,60.99,3268.65,451.27
488.71,75.95,3213.72,665.59
484.98,54.54,1127.43,526.16
200.71,27.57,2877.21,345.78
298.9,54.9,4698.49,556.4
220.35,65.98,2590.37,404.77
213.94,44.38,3499.69,412.71
114.75,72.79,4119.27,406.95
343.83,58.92,4135.7,570.23
301.07,73.95,3077.12,505.65
120.59,57.41,4431.81,404.18
211.46,27.88,2565.51,339.26
463.31,38.58,4554.77,656.26
195.82,32.11,1960.91,302.87
157.96,74.53,2120.87,344.2
295.78,65.62,1212.48,395.69
494.26,60.58,4182.33,695.4
196.82,38.06,2668.22,347.96
368.85,31.04,1916.47,437.47
404.65,65.39,1927.16,518.16
195.06,48.45,4605.6,459.0
391.29,33.55,4335.67,580.13
247.11,57.0,3214.12,443.89
352.92,22.42,3464.44,489.19
353.41,39.57,2897.3,486.95
314.31,48.11,2566.67,451.95
136.12,28.88,4661.91,385.3
434.12,79.08,1502.45,541.04
228.31,32.55,2673.79,365.16
174.61,27.82,2378.25,300.33
116.31,32.21,2992.6,291.0
336.36,66.14,2830.53,509.83
371.03,45.53,3075.56,518.89
106.64,53.92,1559.68,244.18
304.84,21.26,3052.57,428.39
190.6,22.07,1969.68,284.06
358.07,46.75,1737.33,443.45
169.75,69.0,1259.34,302.26
376.38,73.11,4050.61,613.3
254.69,25.2,2709.77,377.05
474.69,52.3,3506.57,633.54
155.01,74.79,3910.37,431.72
236.43,43.28,3717.27,439.92
145.39,69.77,2882.0,365.07
469.88,28.02,2551.59,545.51
450.94,76.12,2503.84,600.13
203.18,65.09,3560.2,438.18
363.99,76.48,2979.18,554.87
426.89,60.6,4396.53,652.23
322.08,41.8,4498.81,545.31
311.86,76.29,1682.24,448.04
196.74,36.53,1544.93,289.44
137.24,39.93,3521.6,345.77
458.89,62.05,2204.9,570.43
460.17,65.92,1074.28,520.73
353.24,75.76,4554.57,623.97
235.61,32.29,1907.6,332.3
239.68,67.88,4717.12,529.42
390.38,64.31,3869.74,602.26
458.84,23.83,4050.61,605.35
454.83,43.23,1805.85,519.01
411.95,36.97,1936.78,481.85
356.81,38.27,3085.07,497.11
133.66,78.98,1688.4,309.81
164.65,58.57,2221.73,330.66
459.42,63.06,2285.85,576.42
342.57,78.6,1638.52,473.88
103.68,42.63,1820.73,237.93
140.59,68.11,4154.21,422.35
365.4,46.07,1668.78,444.87
102.02,72.17,1113.83,245.57
164.32,30.84,3517.42,353.59
319.49,76.86,4903.93,616.08
376.76,33.13,2324.86,467.34
360.78,39.57,1474.62,421.72
189.71,65.37,3281.55,413.9
384.87,43.63,4625.42,604.61
194.9,56.49,4136.25,447.47
230.16,46.67,3490.06,428.64
398.6,64.54,2260.23,528.7
359.85,33.7,3167.52,496.81
439.69,23.51,1364.98,455.26
363.05,38.0,3715.78,533.22
327.32,48.46,3900.38,529.57
137.47,30.08,4860.13,398.1
247.09,41.29,2041.59,361.68
206.08,44.0,1073.83,284.55
197.6,23.44,3182.43,352.36
489.2,55.0,3827.16,665.22
257.24,73.06,4161.63,523.46
456.82,29.1,1774.96,497.86
352.46,55.87,2047.01,468.12
417.92,59.88,3050.36,576.68
301.05,45.16,2322.4,424.7
330.76,62.07,4442.05,579.81
297.01,44.64,2895.04,449.32
178.1,50.28,4198.31,427.81
388.98,20.44,3322.48,507.97
212.31,61.5,4092.36,466.72
109.73,59.68,2330.69,293.84
358.19,22.3,4325.67,536.29
170.84,42.1,2098.29,304.73
476.18,78.74,3184.4,658.28
481.57,45.24,1856.03,545.92
465.95,50.12,2902.11,593.04
248.06,74.6,2272.7,423.98
106.18,63.04,2066.81,282.84
471.33,54.92,4867.94,702.85
271.27,67.87,1640.3,400.84
486.66,71.86,4149.3,704.59
485.45,47.41,4936.66,706.31
441.2,48.51,1079.61,479.7
217.78,43.16,3796.11,428.77
254.04,78.0,2011.65,420.82
440.45,61.83,1161.95,503.21
226.77,24.99,2611.56,349.48
167.8,71.78,4740.87,478.95
322.72,48.83,1047.06,383.78
474.46,24.13,3351.54,583.33
378.41,52.98,3005.59,532.48
328.02,45.03,4493.54,554.64
138.87,72.66,1336.01,286.89
346.0,32.24,3726.1,511.47
496.02,69.59,3720.44,687.22
156.03,53.46,3676.32,388.83
307.33,23.28,4769.34,519.25
450.95,78.31,4292.35,692.84
396.31,50.76,1167.89,451.58
378.81,37.45,2884.33,503.44
380.99,48.16,2591.81,506.63
243.8,71.47,2240.59,414.27
217.44,38.29,2805.35,371.66
423.74,31.56,2536.78,513.18
424.05,27.74,2729.34,517.32
446.83,37.87,4917.05,660.12
465.3,66.8,1354.53,540.17
304.54,48.3,4688.92,550.52
300.61,33.65,2920.95,437.01
419.32,29.97,3494.97,555.16
359.99,39.96,4320.73,563.97
380.79,76.4,2441.85,541.32
418.32,40.58,2721.69,531.61
456.0,79.29,2638.07,615.64
235.2,49.11,2498.92,386.78
250.23,30.75,4702.12,481.42
137.59,73.47,4315.72,436.06
331.31,47.62,1436.0,408.28
114.38,62.58,1432.49,257.0
286.24,79.02,2711.48,483.1
317.06,23.01,1394.63,357.89
214.62,25.8,3476.37,384.21
336.33,63.23,1574.77,442.65
112.2,36.91,3089.49,299.6
114.94,31.06,1028.88,189.98
429.04,22.36,2266.39,490.09
244.08,21.31,3708.76,412.67
150.82,66.47,2936.16,367.17
308.9,28.07,4913.08,534.87
408.0,48.06,4496.42,623.31
186.33,56.35,2436.28,355.41
349.16,45.7,1181.95,406.97
134.14,21.63,4382.51,358.88
120.67,67.01,4644.94,429.3
312.54,20.63,4282.51,495.11
316.25,65.71,1511.8,427.16
354.97,73.6,4991.66,643.96
390.44,45.97,2034.34,483.02
490.34,52.13,3896.82,665.31
306.52,48.62,4632.14,549.75
229.18,43.35,1942.75,345.51
418.07,73.25,4633.03,675.98
208.33,73.64,2237.93,389.02
275.59,40.15,4905.65,525.98
131.38,56.9,2125.04,296.71
110.14,75.61,4813.74,442.22
485.06,77.72,1214.18,565.34
434.39,50.54,3837.09,615.17
378.39,47.17,3128.44,529.89
263.58,36.72,2911.51,411.52
169.32,77.53,1893.98,346.45
162.57,28.57,3822.38,364.03
200.1,54.79,1763.24,330.42
319.69,36.95,3211.37,471.75
385.84,36.74,2012.98,464.43
364.08,44.3,4822.49,598.83
211.97,79.93,1114.52,345.2
481.95,23.3,1798.91,510.45
395.16,54.71,1969.24,496.66
321.74,24.95,2656.27,427.64
344.69,29.27,1930.92,416.2
267.84,46.37,2965.4,432.1
199.09,50.63,4489.86,459.71
242.39,35.53,3848.25,439.62
403.14,38.99,3319.85,546.98
105.76,25.22,1356.01,190.23
146.43,38.19,3775.97,363.23
118.4,77.99,1665.66,294.99
116.29,76.68,4145.47,415.33
442.18,40.09,2000.23,513.9
381.46,54.25,2668.19,519.96
289.67,74.58,2401.88,463.69
139.13,20.37,4435.26,363.63
296.65,68.64,1506.18,415.59
289.39,76.9,3262.58,509.99
169.28,25.48,1568.25,252.06
273.54,29.69,3819.18,454.32
259.4,77.64,4620.31,555.0
346.34,52.25,2738.43,492.37
354.04,20.85,2952.37,462.13
118.12,35.46,4709.69,383.17
249.85,47.0,3083.97,424.57
350.34,61.57,2950.39,520.16
301.25,63.99,3313.32,502.65
442.6,79.73,3756.92,661.51
363.48,37.25,1427.53,418.03
165.17,52.29,4284.44,424.8
128.23,52.0,2742.02,317.68
356.97,44.34,1289.39,416.55
110.6,30.15,4144.73,340.94
334.31,78.65,2507.8,510.81
476.09,71.2,1401.47,557.75
330.19,49.9,3535.12,515.76
255.27,56.19,4520.53,514.53
357.32,33.64,4551.01,563.86
283.3,52.63,4830.65,547.11
318.25,61.7,4470.82,570.69
476.59,50.91,1008.56,508.06
254.44,79.42,2520.96,448.73
484.48,56.68,4274.17,686.31
462.14,42.26,2465.01,556.35
178.32,66.33,3406.19,412.46
127.74,30.23,3425.27,318.8
140.31,43.07,2460.1,299.86
107.29,40.82,4617.9,377.95
137.78,45.91,3012.91,329.73
373.2,66.91,2859.14,541.88
128.48,49.05,4990.05,425.86
227.59,67.64,2974.0,432.23
437.95,54.59,1713.59,517.92
109.31,40.52,3052.28,300.85
425.79,68.6,4256.07,656.33
212.74,34.3,4107.44,427.01
147.27,33.46,4154.33,375.72
378.69,50.27,3832.1,569.97
351.58,35.65,2016.87,435.58
450.99,20.55,4448.34,614.03
394.03,58.9,4573.77,632.26
421.39,50.67,1776.61,501.94
212.81,46.73,1521.82,316.44
170.98,78.02,4902.42,498.93
400.25,54.27,4473.3,625.27
422.73,71.81,4572.94,674.54
496.2,28.37,4545.51,666.79
265.05,54.15,3166.75,451.6
248.81,72.08,3585.61,486.44
410.57,54.99,3181.45,570.0
236.32,63.08,1204.83,343.92
472.3,42.32,3982.01,640.43
443.37,25.55,3021.33,544.08
271.6,47.47,3590.84,468.03
400.35,43.67,3010.56,536.31
401.82,72.02,2967.25,577.85
141.25,34.64,1687.16,249.32
461.02,78.0,2114.85,591.57
302.1,77.49,1635.41,439.68
430.58,34.86,1782.67,485.89
228.02,40.88,4891.91,488.34
458.21,73.73,1612.45,557.79
255.68,78.0,2077.08,425.39
104.34,46.61,3362.36,321.5
462.15,39.26,3440.71,600.65
136.51,51.57,1615.9,267.36
227.73,61.27,4174.87,482.82
480.02,36.41,4140.81,645.67
480.24,64.19,1949.27,577.94
329.38,23.1,2154.67,405.88
352.73,22.96,4751.95,554.22
279.38,43.18,4302.69,503.4
217.28,41.21,3791.19,425.2
231.47,38.94,1328.93,310.03
369.01,49.46,2673.06,503.05
400.95,39.24,3237.21,541.49
416.63,31.54,1749.65,468.09
415.85,38.57,2792.91,530.18
136.48,78.49,3404.1,397.13
297.77,44.67,2309.51,420.69
123.02,46.68,4123.78,374.63
319.81,54.59,4361.8,555.83
276.61,79.0,2294.44,454.51
455.08,34.5,4354.63,633.54
240.37,60.88,1414.31,354.32
146.83,62.96,4350.92,429.45
157.2,56.44,1611.0,290.97
404.6,25.31,1331.71,428.24
347.29,60.61,3567.1,547.1
140.45,23.85,2887.75,292.52
133.64,55.77,4631.56,422.15
380.39,64.37,2452.76,523.51
129.11,32.66,2148.61,259.7
428.74,70.5,3002.94,598.89
382.5,21.82,2823.78,479.92
132.54,70.63,2377.71,330.86
133.94,47.62,3774.97,367.33
494.66,33.06,4038.25,647.22
249.71,28.03,4411.94,462.4
248.26,77.2,4891.43,558.97
425.12,24.36,2066.62,479.97
478.9,31.95,3864.37,624.26
494.4,40.87,2577.03,585.68
401.35,57.21,3708.33,592.32
250.5,52.69,2903.93,424.63
133.4,27.54,4975.09,396.78
410.86,37.38,3915.61,580.54
323.36,34.33,4809.97,550.68
269.69,32.81,4339.88,481.96
462.54,44.67,4611.6,667.62
144.48,62.24,4257.68,421.83
297.05,33.05,2836.64,429.04
104.54,42.0,2007.15,246.99
287.46,43.46,2481.28,419.22
122.52,78.59,1080.94,269.95
147.53,77.28,3095.97,388.74
147.01,68.01,3020.23,370.63
359.68,34.5,3101.0,494.55
398.42,24.08,4896.12,599.66
333.35,39.01,4645.82,557.49
484.87,36.01,1646.85,524.25
249.95,50.36,2475.53,399.27
214.28,66.66,2695.82,406.21
447.44,71.5,2442.13,587.31
189.44,70.69,4193.98,467.29
485.29,41.58,3096.15,605.41
104.86,61.23,3288.4,340.16
487.95,38.77,4412.05,669.12
117.26,23.65,4223.71,340.48
456.46,62.09,1528.85,534.75
311.08,20.59,3855.66,472.53
497.19,44.55,2741.74,601.66
129.52,39.76,2178.6,272.19
321.54,61.6,1200.08,409.64
487.72,65.97,2949.0,636.59
309.24,38.25,2421.75,425.85
351.76,68.7,2006.05,484.76
378.3,37.64,3778.69,548.03
281.82,46.78,4077.94,499.52
351.02,63.62,1979.16,475.21
333.73,61.58,1197.79,419.23
460.46,79.24,4395.01,706.98
118.18,33.51,1039.84,196.8
212.39,59.74,4748.45,496.94
480.16,56.58,3510.48,644.53
456.11,74.91,2287.39,591.61
282.26,29.38,1985.91,369.18
348.05,65.11,1036.02,427.91
210.95,54.1,1941.89,347.0
175.25,36.48,1550.91,272.46
285.48,48.47,3448.66,473.52
241.34,40.03,1666.18,336.42
333.46,54.76,3114.52,504.63
131.09,73.34,3360.47,382.91
489.76,54.16,2192.17,582.65
494.48,57.9,1140.26,539.46
379.26,51.12,1149.02,437.55
314.44,23.07,1105.39,341.43
223.81,33.97,3956.5,427.83
425.52,49.52,2272.04,528.3
373.89,38.61,4185.2,566.3
165.05,30.91,2726.93,314.74
464.37,50.25,2811.99,587.47
429.01,39.37,3051.53,554.84
479.92,35.49,3852.13,629.77
390.29,47.84,2094.01,488.69
345.37,28.0,1486.35,392.61
267.3,75.66,3224.23,488.55
473.09,72.06,2307.91,601.96
446.43,62.46,2769.97,589.32
118.09,26.37,3587.79,313.42
110.55,66.55,2976.5,337.09
250.59,68.48,3481.12,477.24
424.22,66.07,3176.8,597.32
494.91,26.84,3959.19,634.14
160.17,58.63,3823.75,407.27
337.65,70.06,3136.76,532.05
252.36,54.64,3715.61,469.63
487.97,58.78,4494.24,703.26
436.85,47.5,2729.09,557.19
435.33,51.72,2651.05,558.4
287.48,22.06,4056.98,465.92
265.93,58.34,3330.22,466.76
209.36,24.89,1284.03,269.02
122.55,46.1,4568.45,395.61
445.89,37.56,1123.13,469.21
425.16,52.73,3993.59,618.9
499.89,28.0,4035.18,643.68
498.65,61.5,4812.44,731.79
322.17,67.7,1216.54,420.12
407.59,29.8,3387.43,540.15
477.91,26.26,2711.36,557.28
439.86,28.73,2322.53,511.11
198.94,72.63,1361.27,336.16
280.22,51.69,3250.62,464.24
151.66,48.04,2916.16,339.19
481.62,26.4,1418.22,495.81
342.47,58.97,3449.96,534.93
191.46,72.08,3951.81,458.88
368.68,69.69,4069.11,602.94
347.25,57.56,4621.49,595.22
243.27,24.52,2637.88,363.28
145.42,26.74,4812.29,397.07
368.63,22.96,4461.72,552.43
308.12,35.45,2186.01,408.97
408.93,28.14,1637.13,451.21
308.07,35.6,2741.56,436.93
440.87,43.1,2607.59,547.73
320.76,76.58,3302.88,536.62
324.38,56.62,3333.54,511.11
450.66,70.1,3999.95,665.67
261.39,62.62,3039.56,455.02
153.61,26.75,1419.29,233.97
111.51,64.16,4433.17,407.1
402.05,36.51,2239.06,488.36
348.12,58.35,4885.19,610.28
381.63,40.46,1471.44,439.56
185.19,79.86,4833.0,509.59
154.55,35.81,1364.05,245.56
105.82,36.75,1924.14,235.98
240.24,75.84,1186.32,365.26
335.97,21.48,3820.45,492.01
256.9,61.8,4401.19,518.28
274.99,63.52,2736.28,452.09
461.66,70.18,4714.09,710.31
239.3,78.47,3361.2,477.2
305.6,78.54,3520.03,538.28
413.46,23.92,4381.68,585.73
258.62,69.31,2187.2,420.22
348.83,58.78,2417.06,488.09
444.95,58.84,4623.81,675.41
479.81,27.7,4603.85,655.59
158.83,59.01,4905.93,460.88
470.64,78.95,4607.35,725.3
296.85,74.71,1509.49,425.02
203.3,46.35,4294.9,446.9
283.65,22.4,2639.35,392.49
492.01,41.74,4963.21,704.38
297.05,69.58,2889.12,486.47
231.5,62.09,3215.34,439.1
353.36,47.56,3119.1,509.98
196.06,23.31,2286.95,306.15
130.35,45.61,1300.09,237.7
151.55,48.14,4582.6,422.58
151.22,75.71,4210.7,445.08
160.76,58.47,1558.11,294.21
155.53,38.7,4107.07,387.83
356.35,51.52,3503.39,537.53
172.75,23.96,2636.58,305.98
238.27,78.35,2016.08,408.95
458.72,41.6,4438.92,651.32
289.58,48.67,3800.75,494.71
367.02,41.32,3190.96,515.14
168.93,60.95,3438.27,398.48
176.92,59.73,1364.26,299.35
116.35,62.92,2895.68,332.24
167.57,36.09,1774.8,276.93
211.44,38.94,1833.53,319.24
170.8,27.52,3645.22,360.18
135.48,59.33,4645.02,429.63
148.25,22.39,2615.03,282.94
284.31,55.86,1831.0,402.79
182.53,72.18,3594.99,434.05
245.71,73.45,4484.75,530.98
301.37,46.94,3993.28,511.17
376.16,47.56,4475.03,596.02
115.72,24.62,3146.22,286.82
419.76,60.25,4007.5,626.56
351.16,69.28,1560.26,462.85
132.7,34.68,2393.1,277.84
449.43,45.28,2558.2,555.37
468.35,70.33,3045.18,632.43
124.43,72.63,4716.31,444.3
210.75,34.59,4497.19,445.35
422.48,53.03,1538.1,494.44
399.3,31.55,1691.16,451.33
173.81,26.11,2430.56,299.74
183.74,74.67,2162.98,367.14
248.19,69.23,3459.08,475.35
293.81,65.6,4611.1,564.01
347.3,22.93,4849.17,554.69
247.57,70.62,3614.41,484.71
285.01,46.28,4352.64,515.07
398.99,40.54,3100.81,535.05
114.67,52.79,1833.31,262.59
200.97,25.48,3098.75,353.94
385.34,65.4,3220.33,567.39
458.08,54.95,3969.83,647.38
304.67,31.2,1879.53,384.51
312.85,31.29,2473.24,420.88
142.87,31.05,2456.11,283.68
278.96,23.42,4837.76,500.19
313.05,55.27,2775.78,472.13
196.99,70.42,4020.38,464.24
207.7,21.05,4003.25,397.89
250.91,22.94,2062.18,338.25
108.03,54.37,3287.48,332.35
228.83,69.17,4577.21,515.68
184.58,39.6,2900.79,352.11
231.0,40.98,4780.47,485.29
147.9,55.78,1857.83,294.89
456.21,36.45,1296.64,484.48
337.44,21.6,4565.82,530.64
371.64,64.11,4390.72,613.02
415.67,57.54,4970.36,667.36
299.38,54.85,3717.57,507.65
134.77,64.5,4746.75,441.9
314.84,60.51,4307.8,558.03
334.74,32.35,4377.71,535.2
398.18,41.15,3276.57,544.09
272.66,27.57,2529.46,385.95
151.03,27.79,4738.23,399.42
213.51,60.57,2728.47,398.09
245.23,71.52,3155.28,461.22
358.37,77.76,2784.46,542.56
328.31,57.7,3259.27,512.16
242.44,31.05,2882.02,384.62
494.61,26.34,1191.87,494.79
342.31,68.77,4528.19,603.41
194.89,54.73,2777.58,376.88
140.71,57.1,3355.77,366.0
161.14,66.89,1556.75,307.08
198.38,62.2,1013.55,302.68
164.27,70.07,1981.16,335.58
174.63,23.37,3818.34,365.68
214.04,64.85,1396.78,338.35
169.35,71.05,4635.55,473.83
458.71,37.17,1860.09,515.72
132.09,58.43,1818.37,284.23
309.8,38.85,1726.03,392.42
264.16,77.48,1055.93,380.34
492.95,22.01,4087.22,631.73
144.82,54.79,4500.14,423.04
259.14,29.99,3456.65,425.13
487.79,62.73,1752.8,571.97
446.2,30.55,2141.11,509.85
426.83,34.12,2903.71,537.83
203.16,49.66,4817.38,477.89
168.36,74.89,1989.41,346.49
367.46,32.7,3926.58,539.35
471.75,28.65,2757.79,558.27
322.71,65.54,2191.39,466.04
328.65,50.04,2823.66,479.16
211.99,74.71,1284.83,345.9
407.8,28.8,4194.75,579.17
174.82,58.76,1973.21,326.65
229.47,33.97,3901.65,429.62
270.17,29.41,1273.39,323.92
303.04,61.01,4820.39,574.96
196.96,55.62,1772.06,329.61
145.93,65.29,4530.97,441.23
344.25,38.57,4237.89,545.14
215.45,46.88,4871.44,486.25
332.5,44.33,2911.56,478.07
161.75,79.05,3909.59,443.44
292.46,37.53,2482.84,414.41
313.04,37.69,1737.47,393.84
120.73,41.27,2772.3,297.11
234.64,53.88,1663.0,351.68
153.77,35.14,4928.18,422.13
125.35,74.92,1384.99,281.91
495.98,35.94,3356.85,618.54
228.94,73.75,3505.86,469.07
423.95,26.21,3152.32,536.09
201.86,59.39,3648.74,433.01
372.6,74.42,1464.72,482.95
404.09,30.12,3220.07,529.46
338.26,78.1,2148.85,495.2
288.63,47.17,4760.7,539.7
264.74,76.74,4048.29,529.32
239.55,60.61,4890.06,527.05
471.81,38.1,1150.22,492.1
432.25,31.3,2140.53,499.77
486.01,38.22,1781.69,535.23
149.72,25.58,1044.62,210.38
392.35,28.63,1969.3,455.29
475.34,26.28,3715.1,605.44
172.49,45.38,1924.36,302.28
126.6,67.73,3036.01,354.68
396.45,28.48,4551.27,587.45
329.79,27.82,3775.03,494.31
436.73,58.61,2578.52,566.22
155.91,31.83,2489.88,296.97
418.11,25.86,2822.94,514.42
180.65,30.01,1708.17,274.95
165.46,75.42,3536.0,422.31
165.71,69.29,2456.61,359.33
425.83,41.24,4409.46,623.0
366.08,59.35,4026.21,583.2
309.23,52.24,3442.05,497.84
243.53,60.63,2456.81,408.61
450.88,60.96,1839.73,544.13
256.98,57.72,4104.61,497.4
426.64,35.97,2945.64,542.54
275.65,22.34,1899.0,348.98
250.78,47.33,1780.7,360.66
285.07,73.46,1661.6,421.33
220.55,54.17,4108.64,463.13
399.04,69.94,1915.95,519.95
301.09,79.5,3106.57,515.45
192.89,29.82,2806.19,339.34
459.83,61.51,3318.44,626.05
253.56,60.46,4508.62,518.96
317.42,78.8,4470.99,595.68
462.59,79.14,2804.3,628.99
349.7,61.2,1061.47,424.63
146.76,34.62,2705.78,304.62
475.93,67.91,3424.77,653.86
351.08,26.42,3231.06,482.05
233.96,66.84,3605.34,467.7
155.71,74.61,1616.3,317.3
417.61,42.97,3586.14,577.85
348.03,57.84,1730.61,451.71
313.38,45.81,4002.1,519.53
457.56,46.27,2356.35,553.26
415.44,38.62,3839.58,582.26
160.67,65.73,1191.46,286.7
224.69,76.17,2631.44,425.58
199.4,76.45,3820.14,465.19
397.58,30.49,1907.48,459.17
113.41,72.48,4181.15,408.51
327.96,64.25,3523.12,534.89
404.98,35.17,3350.25,544.25
450.71,24.04,2414.2,517.33
236.83,36.08,2929.81,390.08
428.5,74.73,3389.4,624.37
144.25,57.99,2889.85,346.88
438.58,63.26,3793.25,635.42
151.0,35.43,2734.79,310.68
258.91,63.16,1809.09,392.33
418.92,21.69,1855.74,460.45
159.97,42.52,1023.22,242.91
191.7,57.61,2203.83,349.96
388.9,28.77,3995.67,554.05
388.01,69.38,4176.65,623.31
356.46,34.1,1809.87,426.81
377.58,59.14,4836.18,632.58
317.09,44.31,3009.61,470.62
200.72,55.76,4667.91,477.62
238.28,26.45,3827.06,421.65
172.64,21.01,3889.73,364.12
463.38,74.57,1340.17,549.57
333.36,36.18,1879.96,414.95
260.34,69.18,1035.26,363.81
284.8,79.96,3864.51,541.01
478.91,32.69,2377.75,551.05
161.34,35.91,4146.61,390.27
334.49,59.77,2355.74,475.04
302.36,77.93,4277.34,572.64
344.58,74.95,1522.79,464.23
107.24,50.17,1693.49,245.73
448.85,67.71,2363.51,578.81
472.85,28.14,2633.95,552.19
326.05,78.65,2394.81,498.55
378.66,77.86,4054.59,622.45
469.0,29.82,1387.81,489.33
382.9,37.97,2404.87,483.51
161.02,26.01,4348.96,385.27
330.52,36.3,1267.19,382.23
342.69,68.96,4769.37,616.05
269.65,42.7,4945.27,527.03
394.58,25.3,1354.27,421.33
473.75,40.53,2165.09,548.05
470.23,78.88,2489.6,618.99
280.34,57.78,4105.57,516.22
145.3,44.97,3383.71,352.88
493.94,29.99,3577.46,619.01
435.56,79.17,4030.04,668.71
149.87,69.25,1471.92,297.36
468.34,36.89,4332.84,646.64
447.96,24.2,3822.48,585.8
307.54,23.4,3309.37,446.59
336.51,27.22,4558.94,537.99
259.6,54.85,3801.23,480.01
121.9,75.73,1806.8,301.45
